JPN,Tokyo,Asia,1427,37977000
EGY,Cairo,Africa,1349,19372000
USA,New York,North America,1175,18713220
USA,Los Angeles,North America,1245,12750807
GBR,London,Europe,1235,10979000
JPN,Nagoya,Asia,1283,9113000
USA,Chicago,North America,1955,8604203
USA,Miami,North America,1421,6445545
USA,Dallas,North America,1069,5743938
USA,Philadelphia,North America,1802,5649300
USA,Houston,North America,1590,5464251
USA,Atlanta,North America,1646,5449398
CAN,Toronto,North America,1956,5429524
USA,Washington,North America,1422,5379184
EGY,Alexandria,Africa,1394,4870000
USA,Boston,North America,1284,4688346
USA,Phoenix,North America,1449,4219697
USA,Seattle,North America,1526,3789215
JPN,Yokohama,Asia,1621,3748781
USA,San Francisco,North America,1499,3592294
USA,Detroit,North America,1182,3506126
USA,San Diego,North America,1934,3220118
EGY,Giza,Africa,1403,3021542
USA,Minneapolis,North America,1249,2977172
USA,Tampa,North America,1549,2908063
GBR,Birmingham,Europe,1733,2897303
USA,Denver,North America,1043,2876625
GBR,Manchester,Europe,1580,2705000
USA,Brooklyn,North America,1628,2559903
CAN,Vancouver,North America,1539,2264823
USA,Queens,North America,1014,2230722
JPN,Fukuoka,Asia,1934,2128000
USA,Riverside,North America,1223,2107852
USA,Baltimore,North America,1285,2106068
USA,Las Vegas,North America,1217,2104198
USA,Portland,North America,1499,2074775
USA,San Antonio,North America,1263,2049293
USA,St. Louis,North America,1589,2024074
JPN,Sapporo,Asia,1808,1958756
GBR,Leeds,Europe,1710,1901934
USA,Sacramento,North America,1918,1898019
USA,Orlando,North America,1555,1822394
USA,San Jose,North America,1119,1798103
USA,Cleveland,North America,1122,1710093
USA,Pittsburgh,North America,1895,1703266
USA,Austin,North America,1588,1687311
USA,Cincinnati,North America,1059,1662691
GBR,Newcastle,Europe,1746,1650000
USA,Kansas City,North America,1220,1636715
USA,Manhattan,North America,1674,1628706
USA,Indianapolis,North America,1601,1588961
USA,Columbus,North America,1276,1562009
USA,Charlotte,North America,1024,1512923
USA,Virginia Beach,North America,1110,1478868
JPN,Kawanakajima,Asia,1192,1437266
GBR,Birstall,Europe,1102,1424216
USA,Bronx,North America,1873,1418207
USA,Milwaukee,North America,1847,1365787
JPN,Saitama,Asia,1464,1307931
JPN,Hiroshima,Asia,1362,1306589
CAN,Calgary,North America,1245,1239220
USA,Providence,North America,1818,1203230
USA,Jacksonville,North America,1752,1181496
SEN,Dakar,Africa,1907,1146053
USA,Salt Lake City,North America,1608,1098526
USA,Nashville,North America,1428,1081903
USA,Richmond,North America,1003,1075798
USA,Memphis,North America,1649,1066967
CAN,Edmonton,North America,1079,1062643
JPN,Sendai,Asia,1104,1058070
USA,Raleigh,North America,1910,1038738
USA,New Orleans,North America,1130,1020886
USA,Louisville,North America,1208,1005654
CAN,Ottawa,North America,1520,989567
CAN,Winnipeg,North America,1987,705244
CAN,Quebec City,North America,1991,705103
CAN,Kitchener,North America,1372,470015
CAN,Halifax,North America,1082,403131
CAN,Victoria,North America,1847,335696
JPN,Kitaku,Asia,1146,997536
GBR,Glasgow,Europe,1585,985290
JPN,Chiba,Asia,1934,980203
USA,Oklahoma City,North America,1269,972943
USA,Bridgeport,North America,1999,924449
USA,Buffalo,North America,1782,914341
USA,Fort Worth,North America,1299,909585
